Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,23,NYJ,NFL,QB,16,16,8-8-0,247,443,55.8,3046,12,2.7,21,4.7,148,39.5,69,6.9,5.28,12.3,190.4,66.5,41.0,43,315,8.85,5.62,4.17,2,5,7,
2014,24,NYJ,NFL,QB,14,13,3-10-0,219,367,59.7,2525,13,3.5,13,3.5,119,41.8,74,6.9,5.99,11.5,180.4,77.5,45.8,28,175,7.09,5.95,5.13,1,2,7,
2015,25,NYJ,NFL,QB,1,0,,27,42,64.3,265,2,4.8,1,2.4,14,53.3,28,6.3,6.19,9.8,265.0,87.9,56.9,3,19,6.67,5.47,5.36,0,0,1,
2016,26,NYJ,NFL,QB,2,1,1-0-0,8,14,57.1,126,1,7.1,1,7.1,3,41.2,69,9.0,7.21,15.8,63.0,81.2,26.2,3,19,17.65,6.29,4.82,0,0,0,
2017,27,NYG,NFL,QB,2,1,0-1-0,21,36,58.3,212,1,2.8,0,0.0,8,38.5,47,5.9,6.44,10.1,106.0,84.5,39.8,3,12,7.69,5.13,5.64,0,0,1,
2018,28,LAC,NFL,QB,5,0,,1,4,25.0,8,0,0.0,0,0.0,0,,8,2.0,2.00,8.0,1.6,39.6,0.7,1,16,20.00,-1.60,-1.60,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,30,SEA,NFL,QB,1,0,,4,5,80.0,33,0,0.0,0,0.0,3,50.0,14,6.6,6.60,8.3,33.0,94.2,3.9,1,3,16.67,5.00,5.00,0,0,0,
2021,31,SEA,NFL,QB,4,3,1-2-0,65,95,68.4,702,5,5.3,1,1.1,31,44.4,84,7.4,7.97,10.8,175.5,103.0,51.8,13,117,12.04,5.42,5.93,0,0,2,
2022,32,SEA,NFL,QB,17,17,9-8-0,399,572,69.8,4282,30,5.2,11,1.9,206,48.2,54,7.5,7.67,10.7,251.9,100.9,62.8,46,348,7.44,6.37,6.54,2,3,15,PBAP MVP-9AP CPoY-1
2023,33,SEA,NFL,QB,15,15,8-7-0,323,499,64.7,3624,20,4.0,9,1.8,169,47.2,73,7.3,7.25,11.2,241.6,92.1,60.3,31,231,5.85,6.40,6.39,4,5,12,PB
2024,34,SEA,NFL,QB,17,17,10-7-0,407,578,70.4,4320,21,3.6,15,2.6,209,48.4,71,7.5,7.03,10.6,254.1,93.2,50.4,50,338,7.96,6.34,5.93,4,4,12,
2025,35,LVR,NFL,QB,7,7,2-5-0,133,202,65.8,1417,7,3.5,10,5.0,66,45.2,61,7.0,5.48,10.7,202.4,77.1,34.4,19,146,8.60,5.75,4.35,0,0,,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,101,90,42-48-0,1854,2857,64.9,20560,112,3.9,82,2.9,976,45.4,84,7.2,6.69,11.1,203.6,87.3,,241,1739,7.78,6.08,5.61,13,19,57,
